abundance,num_val
-3.975,0.0
-3.9250000000000003,0.0
-3.8750000000000004,0.0
-3.8250000000000006,0.0
-3.775000000000001,0.0
-3.725000000000001,0.0
-3.675000000000001,0.0
-3.6250000000000013,0.0
-3.5750000000000015,0.0
-3.5250000000000017,0.0
-3.475000000000002,0.0
-3.425000000000002,0.0
-3.375000000000002,0.0
-3.3250000000000024,0.0
-3.2750000000000026,0.0
-3.2250000000000028,0.0
-3.175000000000003,0.0
-3.125000000000003,0.0
-3.0750000000000033,0.0
-3.0250000000000035,0.0
-2.9750000000000036,0.0
-2.925000000000004,167617.92
-2.875000000000004,209974.84
-2.825000000000004,335586.53
-2.7750000000000044,965743.8
-2.7250000000000045,1595251.5
-2.6750000000000047,2307075.2
-2.625000000000005,2391211.8
-2.575000000000005,3316101.8
-2.5250000000000052,3188375.0
-2.4750000000000054,2689165.0
-2.4250000000000056,1678513.8
-2.3750000000000058,1766972.5
-2.325000000000006,1553652.5
-2.275000000000006,1008750.0
-2.2250000000000063,1556982.5
-2.1750000000000065,1513080.0
-2.1250000000000067,1219422.5
-2.075000000000007,972700.0
-2.025000000000007,338572.5
-1.9750000000000072,169145.0
-1.9250000000000074,378855.0
-1.8750000000000075,85072.5
-1.8250000000000077,126925.0
-1.775000000000008,0.0
-1.725000000000008,42032.5
-1.6750000000000083,86917.5
-1.6250000000000084,168855.0
-1.5750000000000086,85045.0
-1.5250000000000088,42052.5
-1.475000000000009,0.0
-1.4250000000000091,85292.5
-1.3750000000000093,42685.0
-1.3250000000000095,41940.0
-1.2750000000000097,0.0
-1.2250000000000099,0.0
-1.17500000000001,0.0
-1.1250000000000102,0.0
-1.0750000000000104,0.0
-1.0250000000000106,0.0
-0.9750000000000107,0.0
-0.9250000000000109,0.0
-0.8750000000000111,0.0
-0.8250000000000113,0.0
-0.7750000000000115,0.0
-0.7250000000000116,0.0
-0.6750000000000118,0.0
-0.625000000000012,0.0
-0.5750000000000122,0.0
-0.5250000000000123,0.0
-0.4750000000000125,51157.5
-0.4250000000000127,0.0
-0.3750000000000129,0.0
-0.32500000000001306,0.0
-0.27500000000001323,0.0
-0.2250000000000134,0.0
-0.1750000000000136,0.0
-0.12500000000001377,0.0
-0.07500000000001394,0.0
